Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,Electrical,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,TotalSF,SalePrice
200,20,RL,76.0,9591,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,1713,2,0,3,1,Ex,7,1,Gd,Attchd,Fin,3.0,TA,Y,1,2009,WD,Normal,3426.0,274900
201,20,RM,80.0,8546,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,2004,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,1121,2,0,2,1,TA,5,0,NoFP,Attchd,RFn,2.0,TA,Y,3,2010,WD,Normal,2242.0,140000
202,20,RL,75.0,10125,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,1977,Gable,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,LwQ,TA,Y,SBrkr,1279,2,0,3,1,TA,6,2,Fa,Detchd,Unf,2.0,TA,Y,2,2008,WD,Normal,2475.0,171500
203,50,RL,50.0,7000,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,1924,1950,Gable,MetalSd,MetalSd,None,TA,Gd,BrkTil,Fa,TA,No,LwQ,Unf,Gd,Y,SBrkr,1310,2,0,2,1,TA,6,0,NoFP,Attchd,Unf,1.0,TA,Y,5,2006,COD,Normal,1927.0,112000
204,120,RM,69.30579531442663,4438,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,848,1,0,1,1,Gd,3,1,Gd,Attchd,RFn,2.0,TA,Y,1,2008,WD,Normal,1696.0,149000
205,50,RM,50.0,3500,Pave,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950,Gable,AsbShng,AsbShng,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,TA,Y,SBrkr,1284,1,1,2,1,TA,5,0,NoFP,Detchd,Unf,1.0,TA,Y,4,2009,WD,Normal,2004.0,110000
206,20,RL,99.0,11851,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,1442,2,0,3,1,TA,5,0,NoFP,Attchd,RFn,2.0,TA,Y,5,2009,WD,Normal,2866.0,180500
207,20,RL,40.0,13673,Pave,NOACCESS,IR1,Lvl,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,1962,1962,Gable,HdBoard,HdBoard,None,TA,Gd,CBlock,TA,TA,No,Unf,Unf,TA,Y,SBrkr,1696,1,1,3,1,TA,8,1,TA,Attchd,RFn,1.0,TA,Y,3,2007,WD,Normal,2836.0,143900
208,20,RL,69.30579531442663,12493,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1960,1960,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,ALQ,Rec,TA,Y,SBrkr,1100,1,0,3,1,TA,6,1,Po,Attchd,RFn,1.0,TA,Y,4,2008,WD,Normal,2200.0,141000
209,60,RL,69.30579531442663,14364,Pave,NOACCESS,IR1,Low,Inside,Mod,SawyerW,Norm,Norm,1Fam,2Story,7,5,1988,1989,Gable,Plywood,Plywood,BrkFace,Gd,TA,CBlock,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,2062,2,1,3,1,TA,7,1,Gd,Attchd,Fin,2.0,TA,Y,4,2007,WD,Normal,3219.0,277000
210,20,RL,75.0,8250,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1964,1964,Hip,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,No,Rec,Unf,Ex,Y,SBrkr,1092,1,0,3,1,TA,6,0,NoFP,Attchd,RFn,2.0,TA,Y,7,2008,WD,Normal,2184.0,145000
211,30,RL,67.0,5604,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1925,1950,Gable,Stucco,Stucco,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,TA,N,FuseA,864,1,0,2,1,TA,5,0,NoFP,NoGRG,NoGRG,0.0,NoGRG,Y,4,2008,WD,Normal,1728.0,98000
212,20,RL,83.0,10420,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,2009,2009,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,Ex,Y,SBrkr,1212,2,0,3,1,Gd,6,0,NoFP,Attchd,RFn,2.0,TA,Y,3,2010,WD,Normal,2424.0,186000
213,60,FV,72.0,8640,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,1852,2,1,3,1,Gd,7,1,TA,Attchd,RFn,2.0,TA,Y,7,2009,New,Partial,2752.0,252678
214,20,RL,43.0,13568,Pave,NOACCESS,IR2,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,1995,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,Unf,Ex,Y,SBrkr,990,1,0,3,1,TA,5,0,NoFP,Attchd,Unf,2.0,TA,Y,7,2006,WD,Normal,1980.0,156000
215,60,RL,69.30579531442663,10900,Pave,NOACCESS,IR1,Lvl,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,1977,1977,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,1392,1,1,3,1,TA,6,0,NoFP,Attchd,Fin,1.0,TA,Y,3,2010,WD,Normal,2081.0,161750
216,20,RL,72.0,10011,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1996,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,TA,Y,SBrkr,1236,1,0,2,1,Gd,6,1,Fa,Attchd,Unf,1.0,TA,Y,5,2006,WD,Normal,2306.0,134450
217,20,RL,65.0,8450,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,Ex,Y,SBrkr,1436,2,0,3,1,Gd,8,0,NoFP,Attchd,Unf,2.0,TA,Y,4,2008,WD,Normal,2872.0,210000
218,70,RM,57.0,9906,Pave,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,1925,1950,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,Fa,N,SBrkr,1328,1,0,3,1,TA,8,0,NoFP,Detchd,Unf,1.0,TA,Y,9,2006,WD,Family,2014.0,107000
219,50,RL,69.30579531442663,15660,Pave,NOACCESS,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,1939,2006,Gable,VinylSd,VinylSd,BrkFace,Gd,Gd,CBlock,TA,TA,No,BLQ,Unf,Ex,Y,SBrkr,1954,1,1,3,1,Gd,8,2,TA,Attchd,Unf,2.0,TA,Y,5,2008,WD,Normal,2752.0,311500
220,120,RL,43.0,3010,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,1248,2,0,2,1,Gd,5,0,NoFP,Attchd,Fin,2.0,TA,Y,3,2006,New,Partial,2496.0,167240
221,20,RL,73.0,8990,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Mn,Unf,Unf,Ex,Y,SBrkr,1498,2,0,2,1,Gd,5,0,NoFP,Attchd,RFn,2.0,TA,Y,4,2006,New,Partial,2996.0,204900
222,60,RL,69.30579531442663,8068,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,2267,2,1,4,1,Gd,8,1,TA,BuiltIn,RFn,2.0,TA,Y,12,2009,ConLI,Normal,3277.0,200000
223,60,RL,85.0,11475,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,1975,1975,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,TA,Y,SBrkr,1552,2,1,3,1,TA,6,1,TA,Attchd,RFn,2.0,TA,Y,2,2006,WD,Normal,2265.0,179900
224,20,RL,70.0,10500,Pave,NOACCESS,Reg,Lvl,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,ALQ,LwQ,Gd,Y,SBrkr,864,1,0,2,1,TA,4,0,NoFP,Detchd,Unf,2.0,TA,Y,3,2009,WD,Abnorml,1728.0,97000
225,20,RL,103.0,13472,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,2003,Hip,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,2392,2,0,3,1,Ex,8,1,Ex,Attchd,Fin,3.0,TA,Y,6,2009,WD,Normal,4784.0,386250
226,160,RM,21.0,1680,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,TA,Y,SBrkr,1302,2,1,3,1,TA,6,0,NoFP,Detchd,Unf,1.0,TA,Y,5,2009,COD,Abnorml,1932.0,112000
227,60,RL,82.0,9950,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1995,1995,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,2520,2,1,4,1,Gd,9,1,TA,Attchd,RFn,3.0,TA,Y,6,2007,WD,Abnorml,3723.0,290000
228,160,RM,21.0,1869,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6,1970,1970,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,TA,Y,SBrkr,987,1,1,2,1,TA,5,0,NoFP,Detchd,Unf,1.0,TA,Y,9,2008,WD,Normal,1470.0,106000
229,20,RL,70.0,8521,Pave,NOACCESS,Reg,Lvl,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1967,1967,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,912,1,0,3,1,TA,5,1,Fa,Detchd,Unf,1.0,TA,Y,5,2010,WD,Normal,1824.0,125000
230,120,RL,43.0,3182,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,1555,2,0,2,1,Gd,7,1,TA,Attchd,Fin,2.0,TA,Y,5,2009,WD,Normal,2928.0,192500
231,20,RL,73.0,8760,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,TA,Y,SBrkr,1194,1,0,3,1,TA,6,0,NoFP,Attchd,RFn,1.0,TA,Y,4,2010,WD,Normal,2388.0,148000
232,60,RL,174.0,15138,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1995,1996,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,2794,2,1,4,1,Ex,9,1,TA,Attchd,Fin,3.0,TA,Y,7,2009,WD,Normal,4256.0,403000
233,160,RM,21.0,1680,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1972,1972,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,TA,Y,SBrkr,987,1,1,2,1,TA,5,1,Po,Attchd,Unf,1.0,TA,Y,6,2006,WD,Normal,1470.0,94500
234,20,RL,75.0,10650,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,1976,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,Gd,Av,LwQ,ALQ,TA,Y,SBrkr,894,1,0,3,1,TA,5,0,NoFP,Attchd,Unf,1.0,TA,Y,2,2010,WD,Normal,1788.0,128200
235,60,RL,69.30579531442663,7851,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,1960,2,1,4,1,Gd,8,2,TA,BuiltIn,Fin,2.0,TA,Y,5,2010,WD,Normal,2820.0,216500
236,160,RM,21.0,1680,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1971,1971,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,987,1,1,2,1,TA,5,0,NoFP,Detchd,Unf,1.0,TA,Y,8,2008,WD,Normal,1470.0,89500
237,20,RL,65.0,8773,Pave,NOACCESS,Reg,Lvl,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,1414,2,0,3,1,Gd,6,0,NoFP,Attchd,RFn,2.0,TA,Y,5,2010,WD,Normal,2828.0,185500
238,60,RL,69.30579531442663,9453,Pave,NOACCESS,IR1,Lvl,CulDSac,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,7,7,1993,2003,Gable,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,No,BLQ,Unf,Ex,Y,SBrkr,1744,2,1,3,1,Gd,7,0,NoFP,Attchd,RFn,2.0,TA,Y,2,2010,WD,Normal,2740.0,194500
239,20,RL,93.0,12030,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Hip,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,No,Unf,Unf,Ex,Y,SBrkr,1694,2,0,3,1,Gd,7,0,NoFP,Attchd,Fin,3.0,TA,Y,12,2007,New,Partial,3388.0,318000
240,50,RL,52.0,8741,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1945,1950,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,TA,Fa,No,LwQ,Unf,TA,Y,FuseA,1487,1,1,3,1,TA,7,1,Gd,Detchd,Unf,1.0,TA,Y,4,2010,WD,Normal,2222.0,113000
241,20,FV,75.0,9000,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,1566,2,0,3,1,Gd,7,0,NoFP,Attchd,RFn,2.0,TA,Y,4,2010,WD,Normal,3132.0,262500
242,30,RM,40.0,3880,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,9,1945,1997,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,Gd,Y,SBrkr,866,1,0,2,1,Gd,4,0,NoFP,NoGRG,NoGRG,0.0,NoGRG,Y,8,2007,WD,Normal,1552.0,110500
243,50,RM,63.0,5000,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1900,1950,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Gd,N,FuseA,1440,1,0,3,1,TA,6,0,NoFP,Attchd,Unf,1.0,Fa,Y,4,2006,WD,Normal,1980.0,79000
244,160,RL,75.0,10762,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980,1980,Gable,Plywood,Plywood,None,TA,TA,CBlock,Gd,TA,No,Unf,Unf,TA,Y,SBrkr,1217,1,1,3,1,TA,6,1,TA,Attchd,RFn,1.0,TA,Y,4,2009,WD,Normal,1843.0,120000
245,60,RL,69.30579531442663,8880,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,2002,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,2110,2,1,3,1,Gd,8,2,Fa,Attchd,RFn,2.0,TA,Y,5,2010,WD,Normal,3058.0,205000
246,20,RL,80.0,10400,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1988,1988,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,Gd,Y,SBrkr,1872,2,0,3,1,TA,6,1,TA,Attchd,Fin,2.0,TA,Y,6,2006,WD,Normal,3717.0,241500
247,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,1950,Gable,AsbShng,AsbShng,None,TA,Fa,Stone,Fa,TA,No,Unf,Unf,Gd,N,FuseP,1928,2,0,4,2,Fa,9,0,NoFP,Detchd,Unf,1.0,Po,Y,4,2006,WD,Normal,2948.0,137000
248,20,RL,75.0,11310,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,Wd Sdng,BrkFace,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,1375,1,0,2,1,TA,5,1,TA,Attchd,Unf,2.0,TA,Y,6,2006,WD,Normal,2742.0,140000
249,60,RL,72.0,11317,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,1668,2,1,3,1,Gd,8,0,NoFP,Attchd,RFn,2.0,TA,Y,9,2007,WD,Normal,2508.0,180000
250,50,RL,69.30579531442663,159000,Pave,NOACCESS,IR2,Low,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1.5Fin,6,7,1958,2006,Gable,Wd Sdng,HdBoard,BrkCmn,Gd,TA,CBlock,Gd,TA,Gd,Rec,Unf,Gd,Y,SBrkr,2144,2,0,4,1,Gd,7,2,TA,Attchd,Fin,2.0,TA,Y,6,2007,WD,Normal,3588.0,277000
251,30,RL,55.0,5350,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,2,1940,1966,Gable,Wd Sdng,Plywood,None,TA,Po,CBlock,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,1306,1,0,3,1,Fa,6,0,NoFP,NoGRG,NoGRG,0.0,NoGRG,Y,5,2010,WD,Normal,2034.0,76500
252,120,RM,44.0,4750,Pave,NOACCESS,IR1,HLS,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,1625,2,0,2,1,Gd,5,1,Gd,Attchd,Fin,2.0,TA,Y,12,2007,WD,Family,3198.0,235000
253,60,RL,65.0,8366,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,1640,2,1,3,1,Gd,6,0,NoFP,Attchd,RFn,2.0,TA,Y,12,2008,WD,Normal,2438.0,173000
254,80,RL,85.0,9350,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,7,1964,1991,Hip,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,Gd,LwQ,ALQ,Ex,Y,SBrkr,1302,2,0,3,1,Gd,7,0,NoFP,Attchd,RFn,1.0,TA,Y,10,2007,CWD,Normal,2604.0,158000
255,20,RL,70.0,8400,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1957,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,Rec,Unf,TA,Y,SBrkr,1314,1,0,3,1,TA,5,0,NoFP,Attchd,RFn,1.0,TA,Y,6,2010,WD,Normal,2628.0,145000
256,60,RL,66.0,8738,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,2291,2,1,4,1,Gd,8,1,TA,BuiltIn,Fin,2.0,TA,Y,2,2006,WD,Normal,3266.0,230000
257,60,FV,64.0,8791,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,6,5,2003,2003,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Rec,Unf,Ex,Y,SBrkr,1728,2,1,3,1,Gd,7,0,NoFP,Attchd,RFn,2.0,TA,Y,5,2008,WD,Normal,2592.0,207500
258,20,RL,68.0,8814,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,1604,2,1,3,1,Gd,8,1,Gd,Attchd,RFn,2.0,TA,Y,3,2009,WD,Abnorml,3208.0,220000
259,60,RL,80.0,12435,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,1792,2,1,3,1,Gd,7,1,TA,Attchd,RFn,2.0,TA,Y,5,2008,WD,Normal,2755.0,231500
260,20,RM,70.0,12702,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,BrkFace,BrkFace,None,TA,TA,PConc,NoBSMT,NoBSMT,NoBSMT,NoBSMT,NoBSMT,Gd,Y,FuseA,882,1,0,2,1,TA,4,0,NoFP,Detchd,Unf,1.0,TA,Y,12,2008,WD,Normal,882.0,97000
261,80,RL,120.0,19296,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,1962,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,Gd,Rec,ALQ,TA,Y,SBrkr,1382,1,0,3,1,TA,6,1,TA,Attchd,Unf,2.0,TA,Y,5,2009,WD,Normal,2744.0,176000
262,60,RL,69.0,9588,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CemntBd,CmentBd,Stone,Gd,TA,PConc,Ex,TA,No,Unf,Unf,Ex,Y,SBrkr,2574,2,1,3,1,Ex,10,1,Gd,BuiltIn,Fin,3.0,TA,Y,11,2007,New,Partial,4056.0,276000
263,80,RL,88.0,8471,Pave,NOACCESS,IR1,Lvl,Corner,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977,1995,Gable,HdBoard,Plywood,BrkFace,TA,TA,CBlock,Gd,Gd,Av,ALQ,Unf,TA,Y,SBrkr,1212,1,0,3,1,TA,6,1,TA,Attchd,Unf,2.0,TA,Y,7,2006,WD,Normal,1718.0,151000
264,50,RM,50.0,5500,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,LwQ,ALQ,TA,Y,SBrkr,1316,1,0,3,1,TA,6,0,NoFP,Detchd,Unf,2.0,TA,Y,4,2010,WD,Normal,1852.0,130000
265,30,RM,30.0,5232,Pave,Grvl,IR3,Bnk,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,2004,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,Gd,N,FuseP,764,1,0,2,1,TA,4,0,NoFP,Detchd,Unf,2.0,TA,N,6,2008,WD,Normal,1444.0,73000
266,20,RL,78.0,12090,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981,1981,Gable,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,Gd,TA,No,GLQ,LwQ,TA,Y,SBrkr,1422,2,0,3,1,Gd,7,1,TA,Attchd,Fin,2.0,TA,Y,6,2008,WD,Normal,2844.0,175500
267,60,RL,70.0,11207,Pave,NOACCESS,IR1,HLS,FR2,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,Gd,Y,SBrkr,1511,2,1,3,1,TA,8,1,TA,Attchd,Fin,2.0,TA,Y,6,2006,WD,Normal,2313.0,185000
